Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	CENPC	-0.19	0.314370026	5.65E-01	32.47	NO	No_Regulation
challenge VS control	ATP10D	0.14	0.422637754	6.63E-01	27.77	NO	No_Regulation
challenge VS control	OCIAD2	-0.35	0.073677497	2.39E-01	41.37	NO	No_Regulation
challenge VS control	SCD5	0.29	0.255486697	5.04E-01	7.06	NO	No_Regulation
challenge VS control	PLAC8	-0.68	3.80E-04	5.52E-03	46.76	NO	No_Regulation
challenge VS control	ENOPH1	0.16	0.51711112	7.36E-01	5.77	NO	No_Regulation
challenge VS control	GC	-0.65	0.017435901	8.96E-02	4.63	NO	No_Regulation
challenge VS control	TRMT10A	-0.19	0.456926898	6.91E-01	5.04	NO	No_Regulation
challenge VS control	KLHL8	-0.14	0.378521287	6.25E-01	30.46	NO	No_Regulation
challenge VS control	PYURF	0.25	0.157654963	3.81E-01	23.66	NO	No_Regulation
challenge VS control	TBCK	-0.03	0.819416166	9.17E-01	114.15	NO	No_Regulation
challenge VS control	CAMK2D	-0.12	0.140916819	3.58E-01	249.67	NO	No_Regulation
challenge VS control	CISD2	0.09	0.68603029	8.46E-01	12.05	NO	No_Regulation
challenge VS control	ANK2	0.6	0.007862092	5.17E-02	19.19	NO	No_Regulation
challenge VS control	SPATA5	0.24	0.127167171	3.37E-01	56.01	NO	No_Regulation
challenge VS control	FABP2	-0.51	0.009122137	5.74E-02	353.2	NO	No_Regulation
challenge VS control	CCNA2	1.11	1.32E-05	3.96E-04	8.53	YES	Up-Regulated in Sample Group
challenge VS control	METTL14	0.11	0.560866006	7.70E-01	18.4	NO	No_Regulation
challenge VS control	USP53	-0.34	0.016184606	8.55E-02	54.2	NO	No_Regulation
challenge VS control	SETD7	0.56	0.0171889	8.89E-02	10.45	NO	No_Regulation
challenge VS control	NAF1	0.29	0.204979952	4.43E-01	11.19	NO	No_Regulation
challenge VS control	MARCH1	0.29	0.179262236	4.09E-01	15.23	NO	No_Regulation
challenge VS control	RPS3A	0.15	0.362682482	6.11E-01	140.14	NO	No_Regulation
challenge VS control	PDGFC	-0.22	0.151419088	3.72E-01	29.11	NO	No_Regulation
challenge VS control	CBR4	0.03	0.827959537	9.21E-01	50.58	NO	No_Regulation
challenge VS control	CYP4V2	-0.68	0.003137065	2.70E-02	8.1	NO	No_Regulation
challenge VS control	NDUFS6	0.26	0.120479564	3.26E-01	26.14	NO	No_Regulation
challenge VS control	MARCH6	-0.33	0.002145238	2.03E-02	89.27	NO	No_Regulation
challenge VS control	SRD5A1	-0.13	0.567744971	7.74E-01	12.2	NO	No_Regulation
challenge VS control	MYO10	0.16	0.17461721	4.04E-01	92.79	NO	No_Regulation
challenge VS control	FAM105A	0.03	0.889191228	9.51E-01	13.88	NO	No_Regulation
challenge VS control	RPL37	0.42	0.002784551	2.46E-02	62.28	NO	No_Regulation
challenge VS control	SKP2	0.3	0.209549199	4.49E-01	7.78	NO	No_Regulation
challenge VS control	OSMR	0.22	0.301046458	5.51E-01	12.44	NO	No_Regulation
challenge VS control	UGT3A1	-0.16	0.562609345	7.70E-01	4.35	NO	No_Regulation
challenge VS control	GZMA	0.19	0.410814146	6.53E-01	12.53	NO	No_Regulation
challenge VS control	PIK3R1	0.01	0.917113439	9.64E-01	88.52	NO	No_Regulation
challenge VS control	HAPLN1	-0.27	0.267251022	5.15E-01	7.98	NO	No_Regulation
challenge VS control	LHFPL2	-0.68	1.48E-07	1.15E-05	70.57	NO	No_Regulation
challenge VS control	SSBP2	0.03	0.810113591	9.12E-01	63.89	NO	No_Regulation
challenge VS control	IQGAP2	-0.37	0.003850996	3.14E-02	274.7	NO	No_Regulation
challenge VS control	RASA1	-0.04	0.714864518	8.62E-01	72.47	NO	No_Regulation
challenge VS control	GIN1	0.11	0.643647305	8.21E-01	5.74	NO	No_Regulation
challenge VS control	PPIP5K2	0.16	0.226351339	4.71E-01	52.25	NO	No_Regulation
challenge VS control	PAM	0.21	0.088811438	2.70E-01	94.87	NO	No_Regulation
challenge VS control	BDP1	0.23	0.043927341	1.70E-01	70.59	NO	No_Regulation
challenge VS control	GTF2H2	-0.28	0.285533359	5.34E-01	5.35	NO	No_Regulation
challenge VS control	SLC30A5	0.26	0.162078745	3.88E-01	23.65	NO	No_Regulation
challenge VS control	BTF3	-0.08	0.591466301	7.88E-01	65.17	NO	No_Regulation
challenge VS control	FBXL17	-0.15	0.108004601	3.05E-01	213.85	NO	No_Regulation
challenge VS control	TNFAIP8	0.3	0.083771561	2.61E-01	56.01	NO	No_Regulation
challenge VS control	FEM1C	-0.25	0.259431674	5.07E-01	9.8	NO	No_Regulation
challenge VS control	COMMD10	0.21	0.031556578	1.36E-01	125.46	NO	No_Regulation
challenge VS control	ATG12	-0.11	0.514711661	7.34E-01	28.63	NO	No_Regulation
challenge VS control	ADAMTS19	0.68	0.013109177	7.39E-02	5.18	NO	No_Regulation
challenge VS control	YIPF5	-0.65	8.85E-05	1.75E-03	34.63	NO	No_Regulation
challenge VS control	ARHGAP26	-0.19	0.102932708	2.95E-01	181.39	NO	No_Regulation
challenge VS control	CXCL14	-0.7	0.001091492	1.25E-02	87.41	NO	No_Regulation
challenge VS control	SLC25A48	-0.53	0.014729696	8.03E-02	10.24	NO	No_Regulation
challenge VS control	DDX46	0.24	0.078033307	2.49E-01	46.27	NO	No_Regulation
challenge VS control	RNF145	0.29	0.086401425	2.66E-01	27.41	NO	No_Regulation
challenge VS control	GABRB2	0.5	0.056319439	2.01E-01	5.1	NO	No_Regulation
challenge VS control	FBXO38	-0.01	0.956372792	9.81E-01	20.39	NO	No_Regulation
challenge VS control	TNIP1	-0.44	0.0052237	3.91E-02	21.17	NO	No_Regulation
challenge VS control	G3BP1	0.33	0.016118589	8.53E-02	49.67	NO	No_Regulation
challenge VS control	NHP2	0.45	0.041160655	1.63E-01	9.32	NO	No_Regulation
challenge VS control	RMND5B	-0.12	0.572600476	7.77E-01	10.3	NO	No_Regulation
challenge VS control	TENM2	0.39	0.113097428	3.13E-01	14.39	NO	No_Regulation
challenge VS control	TBC1D7	0.57	0.032243793	1.38E-01	4.56	NO	No_Regulation
challenge VS control	FARS2	0.34	0.007460581	5.00E-02	74.17	NO	No_Regulation
challenge VS control	GFOD1	-0.38	0.07672614	2.46E-01	15.51	NO	No_Regulation
challenge VS control	CDKAL1	0.18	0.06070476	2.11E-01	134.4	NO	No_Regulation
challenge VS control	ZMAT2	-0.01	0.95443979	9.80E-01	15.77	NO	No_Regulation
challenge VS control	KLHL3	-0.01	0.967739202	9.87E-01	5.18	NO	No_Regulation
challenge VS control	SLC17A4	-1.17	1.05E-09	1.92E-07	38.45	YES	Down-Regulated in Sample Group
challenge VS control	TRIM41	0.02	0.943128774	9.74E-01	5.47	NO	No_Regulation
challenge VS control	HIGD2A	-0.19	0.398178767	6.42E-01	10.7	NO	No_Regulation
challenge VS control	FAM193B	-0.16	0.323434211	5.73E-01	24.25	NO	No_Regulation
challenge VS control	TNFRSF21	-0.55	0.026985737	1.21E-01	10.61	NO	No_Regulation
challenge VS control	RNF44	-0.34	0.149659451	3.69E-01	8.9	NO	No_Regulation
challenge VS control	MUT	-0.16	0.446235161	6.84E-01	26.5	NO	No_Regulation
challenge VS control	DAAM2	-0.06	0.779713437	8.96E-01	15.54	NO	No_Regulation
challenge VS control	PRIM2	0.27	0.048617607	1.82E-01	41.63	NO	No_Regulation
challenge VS control	HMGCLL1	-0.2	0.460681446	6.94E-01	5.37	NO	No_Regulation
challenge VS control	FGD2	0.49	0.056752974	2.01E-01	11.85	NO	No_Regulation
challenge VS control	RPL7L1	0.28	0.129001148	3.39E-01	21.32	NO	No_Regulation
challenge VS control	IRAK1BP1	0.35	0.091466637	2.75E-01	18.39	NO	No_Regulation
challenge VS control	PHIP	0.16	0.118535868	3.22E-01	136.51	NO	No_Regulation
challenge VS control	MMS22L	0.56	0.001089002	1.24E-02	33.26	NO	No_Regulation
challenge VS control	PNRC1	-0.09	0.585719159	7.85E-01	36.2	NO	No_Regulation
challenge VS control	PM20D2	0.67	0.003574659	2.98E-02	12.76	NO	No_Regulation
challenge VS control	RARS2	0.24	0.18042575	4.10E-01	37.08	NO	No_Regulation
challenge VS control	SCML4	0.07	0.708452033	8.58E-01	27.52	NO	No_Regulation
challenge VS control	TBC1D32	0.02	0.886543409	9.49E-01	53.29	NO	No_Regulation
challenge VS control	RNF217	0.41	0.028348516	1.26E-01	23.04	NO	No_Regulation
challenge VS control	ARHGAP18	-0.31	0.007081609	4.81E-02	99.24	NO	No_Regulation
challenge VS control	ABRACL	-0.22	0.260474187	5.09E-01	13.65	NO	No_Regulation
challenge VS control	SLC18B1	0.35	0.104068346	2.98E-01	10.94	NO	No_Regulation
challenge VS control	SLC2A12	-1.88	6.64E-16	2.54E-12	23.44	YES	Down-Regulated in Sample Group
challenge VS control	SHPRH	0	0.989510257	9.95E-01	74.83	NO	No_Regulation
challenge VS control	AIG1	-0.22	0.078778421	2.51E-01	104.04	NO	No_Regulation
challenge VS control	DYNLT1	0.02	0.926584772	9.68E-01	29.19	NO	No_Regulation
challenge VS control	TIAM2	-0.33	0.016287712	8.59E-02	110.93	NO	No_Regulation
challenge VS control	TMEM181	-0.21	0.148803127	3.68E-01	54.44	NO	No_Regulation
challenge VS control	WTAP	0.25	0.141544034	3.58E-01	49.23	NO	No_Regulation
challenge VS control	ZMYM4	0.15	0.242624815	4.90E-01	66.76	NO	No_Regulation
challenge VS control	ARMT1	0.19	0.462546696	6.95E-01	7.29	NO	No_Regulation
challenge VS control	SLC22A3	1.13	3.66E-05	8.75E-04	10.25	YES	Up-Regulated in Sample Group
challenge VS control	GNA12	0.18	0.329631744	5.79E-01	20.69	NO	No_Regulation
challenge VS control	C7orf50	0.59	0.010671634	6.40E-02	10.54	NO	No_Regulation
challenge VS control	SDK1	0	0.995168214	9.98E-01	49.42	NO	No_Regulation
challenge VS control	CCZ1B	-0.15	0.554889764	7.65E-01	9.66	NO	No_Regulation
challenge VS control	RBAK	0.37	0.113486769	3.13E-01	8.81	NO	No_Regulation
challenge VS control	CREB5	0.33	0.218678344	4.61E-01	6.02	NO	No_Regulation
challenge VS control	EGFR	0.18	0.190893652	4.25E-01	56.16	NO	No_Regulation
challenge VS control	IGFBP3	-0.69	0.005054772	3.82E-02	11.19	NO	No_Regulation
challenge VS control	PURB	0.24	0.244942791	4.92E-01	14.47	NO	No_Regulation
challenge VS control	AC004453.8	0.15	0.489605827	7.16E-01	11.42	NO	No_Regulation
challenge VS control	MDH2	0.31	0.048413723	1.82E-01	47.08	NO	No_Regulation
challenge VS control	POMZP3	0.16	0.541126654	7.54E-01	4.74	NO	No_Regulation
challenge VS control	GBAS	0.33	0.016182123	8.55E-02	36.72	NO	No_Regulation
challenge VS control	CCT6A	0.3	0.049958482	1.85E-01	42.97	NO	No_Regulation
challenge VS control	ATXN7L1	-0.19	0.122746133	3.29E-01	60.52	NO	No_Regulation
challenge VS control	TMEM168	0.05	0.74323134	8.77E-01	41.16	NO	No_Regulation
challenge VS control	SLC12A9	0.16	0.501035802	7.25E-01	8.22	NO	No_Regulation
challenge VS control	GIGYF1	-0.05	0.80041068	9.07E-01	31.06	NO	No_Regulation
challenge VS control	TRIM4	-0.17	0.247263903	4.95E-01	33.29	NO	No_Regulation
challenge VS control	TMEM209	0.24	0.190894106	4.25E-01	18.81	NO	No_Regulation
challenge VS control	AGBL3	-0.11	0.6296122	8.13E-01	7.77	NO	No_Regulation
challenge VS control	TMEM140	-0.53	0.021458099	1.04E-01	10.48	NO	No_Regulation
challenge VS control	TLK2	-0.01	0.955109073	9.80E-01	38.02	NO	No_Regulation
challenge VS control	EPHA1	-0.05	0.851114389	9.31E-01	6.74	NO	No_Regulation
challenge VS control	NOM1	0.69	0.003507369	2.94E-02	8.72	NO	No_Regulation
challenge VS control	NCAPG2	0.5	0.03481239	1.46E-01	9.59	NO	No_Regulation
challenge VS control	NLGN4X	-0.82	7.44E-04	9.14E-03	8.06	NO	No_Regulation
challenge VS control	LUC7L2	-0.26	0.189951108	4.24E-01	11.45	NO	No_Regulation
challenge VS control	DENND2A	-0.23	0.328395675	5.78E-01	7.99	NO	No_Regulation
challenge VS control	SH3KBP1	0.46	0.002357984	2.18E-02	49.18	NO	No_Regulation
challenge VS control	SYTL5	-0.61	0.021252541	1.04E-01	5.75	NO	No_Regulation
challenge VS control	CASK	0.1	0.273867568	5.23E-01	212.32	NO	No_Regulation
challenge VS control	KDM6A	-0.06	0.671995376	8.37E-01	90.88	NO	No_Regulation
challenge VS control	MSN	0.55	0.005056523	3.82E-02	16.2	NO	No_Regulation
challenge VS control	HDAC8	0.2	0.063966658	2.19E-01	82.1	NO	No_Regulation
challenge VS control	SLC16A2	0.38	0.145258046	3.63E-01	4.95	NO	No_Regulation
challenge VS control	KRBOX4	0.1	0.665907172	8.34E-01	9.1	NO	No_Regulation
challenge VS control	NDUFB11	0.15	0.518148652	7.37E-01	9.56	NO	No_Regulation
challenge VS control	ZNF41	0.1	0.695876646	8.51E-01	5.61	NO	No_Regulation
challenge VS control	TAF1	0.01	0.927311663	9.69E-01	37.7	NO	No_Regulation
challenge VS control	GPR174	0.37	0.103982502	2.97E-01	13.29	NO	No_Regulation
challenge VS control	NONO	0.01	0.965945286	9.86E-01	35.13	NO	No_Regulation
challenge VS control	CCDC120	-0.64	0.008807069	5.60E-02	5.45	NO	No_Regulation
challenge VS control	EBP	0.33	0.157769713	3.81E-01	16.24	NO	No_Regulation
challenge VS control	OGT	0.06	0.665704152	8.34E-01	45.32	NO	No_Regulation
challenge VS control	SNX12	-0.21	0.382586377	6.29E-01	8.98	NO	No_Regulation
challenge VS control	GCNA	0.25	0.311629874	5.62E-01	6.69	NO	No_Regulation
challenge VS control	DIAPH2	0.06	0.59534885	7.91E-01	148.93	NO	No_Regulation
challenge VS control	DOCK11	0.28	0.164381099	3.90E-01	13.4	NO	No_Regulation
challenge VS control	RBMX	0.17	0.259980812	5.08E-01	38.96	NO	No_Regulation
challenge VS control	MCPH1	0.42	0.002237701	2.09E-02	64.12	NO	No_Regulation
challenge VS control	MFHAS1	0.15	0.360374572	6.09E-01	25.34	NO	No_Regulation
challenge VS control	FBXO25	-0.14	0.408082567	6.51E-01	18.02	NO	No_Regulation
challenge VS control	RPL10	0.35	0.065463742	2.22E-01	120.11	NO	No_Regulation
challenge VS control	CSGALNACT1	0.45	0.066081246	2.24E-01	19.16	NO	No_Regulation
challenge VS control	ATP6V1B2	0.2	0.309191281	5.59E-01	15.87	NO	No_Regulation
challenge VS control	CCDC25	-0.37	0.023149537	1.10E-01	35.93	NO	No_Regulation
challenge VS control	HMBOX1	0.1	0.510927179	7.32E-01	44.9	NO	No_Regulation
challenge VS control	BIN3	-0.08	0.691838976	8.49E-01	15.41	NO	No_Regulation
challenge VS control	SLC25A37	-0.29	0.040249125	1.60E-01	148.2	NO	No_Regulation
challenge VS control	CHMP7	0.4	0.108496024	3.05E-01	7.07	NO	No_Regulation
challenge VS control	DOCK5	-0.46	2.59E-04	4.07E-03	149.49	NO	No_Regulation
challenge VS control	PROSC	-0.03	0.867780804	9.40E-01	16.13	NO	No_Regulation
challenge VS control	ERLIN2	-0.06	0.766350093	8.89E-01	11.92	NO	No_Regulation
challenge VS control	PXDNL	0.19	0.437581192	6.75E-01	8.2	NO	No_Regulation
challenge VS control	ST18	-0.23	0.302359395	5.52E-01	15.98	NO	No_Regulation
challenge VS control	TACC1	0.2	0.233351251	4.79E-01	52.47	NO	No_Regulation
challenge VS control	GOLGA7	-0.15	0.45360737	6.89E-01	12.82	NO	No_Regulation
challenge VS control	PLPP5	0.15	0.380019929	6.26E-01	26.11	NO	No_Regulation
challenge VS control	NSD3	-0.1	0.343001664	5.91E-01	90.77	NO	No_Regulation
challenge VS control	ADHFE1	-0.03	0.897526451	9.55E-01	9.43	NO	No_Regulation
challenge VS control	MRPS28	0.45	0.004368169	3.45E-02	28.29	NO	No_Regulation
challenge VS control	LACTB2	-0.17	0.358539872	6.07E-01	27.11	NO	No_Regulation
challenge VS control	TERF1	-0.13	0.411764332	6.53E-01	26.23	NO	No_Regulation
challenge VS control	RPL7	0.27	0.07246377	2.37E-01	119.27	NO	No_Regulation
challenge VS control	SYBU	0.56	5.28E-04	7.09E-03	57.82	NO	No_Regulation
challenge VS control	MTDH	0.21	0.028683543	1.27E-01	131.96	NO	No_Regulation
challenge VS control	LRP12	-0.28	0.254402661	5.03E-01	7.84	NO	No_Regulation
challenge VS control	EBAG9	-0.09	0.674447218	8.39E-01	15.26	NO	No_Regulation
challenge VS control	RSPO2	-0.02	0.929288387	9.69E-01	5.52	NO	No_Regulation
challenge VS control	POLR2K	0.14	0.564325532	7.71E-01	8.52	NO	No_Regulation
challenge VS control	MAL2	-0.34	0.068194546	2.28E-01	42.74	NO	No_Regulation
challenge VS control	EIF3H	0.19	0.141504693	3.58E-01	56.96	NO	No_Regulation
challenge VS control	UTP23	0.21	0.287382398	5.36E-01	18.55	NO	No_Regulation
challenge VS control	NDUFB9	0.1	0.511104864	7.32E-01	41.11	NO	No_Regulation
challenge VS control	TATDN1	0.35	0.049929636	1.85E-01	17.78	NO	No_Regulation
challenge VS control	FAM135B	0.61	0.017907058	9.13E-02	5.46	NO	No_Regulation
challenge VS control	ARHGAP39	0.12	0.641599761	8.20E-01	4.91	NO	No_Regulation
challenge VS control	SLC39A4	-1.14	1.65E-06	8.07E-05	16.44	YES	Down-Regulated in Sample Group
challenge VS control	NAPRT	-0.14	0.469453905	7.00E-01	26.41	NO	No_Regulation
challenge VS control	AK3	-0.26	0.005459883	4.01E-02	114.55	NO	No_Regulation
challenge VS control	UHRF2	0.13	0.44575522	6.83E-01	22.77	NO	No_Regulation
challenge VS control	NFIB	-0.21	0.020610465	1.01E-01	243.19	NO	No_Regulation
challenge VS control	PLIN2	-1.01	3.29E-07	2.23E-05	63.06	YES	Down-Regulated in Sample Group
challenge VS control	HAUS6	0.15	0.511455568	7.32E-01	10.39	NO	No_Regulation
challenge VS control	CDKN2B	-0.76	0.001288819	1.41E-02	15.71	NO	No_Regulation
challenge VS control	C9orf72	-0.2	0.380631752	6.27E-01	10.59	NO	No_Regulation
challenge VS control	ZCCHC7	0.14	0.144188553	3.62E-01	144.66	NO	No_Regulation
challenge VS control	FBXO10	0.57	0.018972606	9.54E-02	5.68	NO	No_Regulation
challenge VS control	SIGMAR1	-0.19	0.428315001	6.67E-01	6.7	NO	No_Regulation
challenge VS control	CBWD5	0.08	0.682879021	8.44E-01	20.86	NO	No_Regulation
challenge VS control	CEP78	0.74	7.52E-04	9.21E-03	16.57	NO	No_Regulation
challenge VS control	IDNK	-0.37	0.054534103	1.97E-01	19.65	NO	No_Regulation
challenge VS control	AUH	-0.31	0.017429628	8.96E-02	75.14	NO	No_Regulation
challenge VS control	MFSD14B	0.15	0.286246914	5.35E-01	31.63	NO	No_Regulation
challenge VS control	C9orf3	-0.15	0.157023708	3.80E-01	88.86	NO	No_Regulation
challenge VS control	ZNF462	0.42	0.02953147	1.30E-01	27.25	NO	No_Regulation
challenge VS control	INIP	-0.38	0.040837705	1.62E-01	21.99	NO	No_Regulation
challenge VS control	UGCG	-0.92	4.25E-13	4.43E-10	68.83	NO	No_Regulation
challenge VS control	SNX30	-0.61	0.005219819	3.91E-02	16.93	NO	No_Regulation
challenge VS control	STOM	-0.89	5.02E-05	1.12E-03	13.56	NO	No_Regulation
challenge VS control	GSN	-0.19	0.232012161	4.77E-01	60.41	NO	No_Regulation
challenge VS control	MRRF	-0.15	0.397290743	6.42E-01	24.74	NO	No_Regulation
challenge VS control	NR6A1	-0.31	0.015972963	8.48E-02	109.92	NO	No_Regulation
challenge VS control	ALAD	-0.28	0.205041576	4.43E-01	10.97	NO	No_Regulation
challenge VS control	ASTN2	0.1	0.631626773	8.15E-01	16.93	NO	No_Regulation
challenge VS control	POLE3	0.4	0.104939411	2.99E-01	7.57	NO	No_Regulation
challenge VS control	SURF4	-0.26	0.072643391	2.37E-01	57.96	NO	No_Regulation
challenge VS control	SURF1	0.05	0.822384738	9.18E-01	13.38	NO	No_Regulation
challenge VS control	SURF6	0.31	0.098845904	2.89E-01	14.13	NO	No_Regulation
challenge VS control	REXO4	0.12	0.597044388	7.92E-01	8.95	NO	No_Regulation
challenge VS control	RPL7A	0.35	0.02499594	1.16E-01	145.29	NO	No_Regulation
challenge VS control	GTF3C5	0.05	0.842021881	9.26E-01	7.92	NO	No_Regulation
challenge VS control	PTGES2	-0.02	0.928405501	9.69E-01	10.58	NO	No_Regulation
challenge VS control	NTMT1	-0.18	0.445480176	6.83E-01	8.17	NO	No_Regulation
challenge VS control	CIZ1	-0.09	0.654798533	8.28E-01	9.87	NO	No_Regulation
challenge VS control	SLC25A25	-0.27	0.239373003	4.86E-01	8.78	NO	No_Regulation
challenge VS control	SH3GLB2	-0.09	0.695372233	8.51E-01	9.5	NO	No_Regulation
challenge VS control	FAM73B	-0.59	0.005341072	3.95E-02	20.13	NO	No_Regulation
challenge VS control	LRSAM1	-0.4	0.057738026	2.04E-01	13.12	NO	No_Regulation
challenge VS control	HMCN2	0.17	0.51204317	7.32E-01	8.14	NO	No_Regulation
challenge VS control	GPR107	-0.13	0.499760873	7.25E-01	15.55	NO	No_Regulation
challenge VS control	SEC16A	0.02	0.901267856	9.56E-01	14.91	NO	No_Regulation
challenge VS control	NOTCH1	0.26	0.255879235	5.04E-01	10.97	NO	No_Regulation
challenge VS control	NACC2	-0.32	0.113562444	3.13E-01	17.92	NO	No_Regulation
challenge VS control	USP6NL	0.06	0.671841599	8.37E-01	37.89	NO	No_Regulation
challenge VS control	MSRB2	-0.19	0.382541869	6.29E-01	11.02	NO	No_Regulation
challenge VS control	PDSS1	0.3	0.068159831	2.28E-01	32.88	NO	No_Regulation
challenge VS control	FAM171A1	0.06	0.726387943	8.69E-01	41.75	NO	No_Regulation
challenge VS control	FAM188A	0.01	0.943943296	9.74E-01	23.43	NO	No_Regulation
challenge VS control	TMEM236	-0.32	0.108920003	3.06E-01	56.11	NO	No_Regulation
challenge VS control	RSU1	0.18	0.19716888	4.33E-01	37.02	NO	No_Regulation
challenge VS control	PARD3	-0.25	0.01457422	7.99E-02	165.08	NO	No_Regulation
challenge VS control	ZEB1	0.13	0.406669282	6.49E-01	74.53	NO	No_Regulation
challenge VS control	FAM13C	0.41	0.104883345	2.99E-01	6.03	NO	No_Regulation
challenge VS control	NRBF2	0	0.986377542	9.93E-01	10.12	NO	No_Regulation
challenge VS control	A1CF	-0.38	0.006919303	4.75E-02	136.1	NO	No_Regulation
challenge VS control	POLR3A	0.32	0.117547325	3.20E-01	11.51	NO	No_Regulation
